NAME,APPS,MINS,TACKLES,INTS,POS WON,BLOCKS,CLEARANCES,TOTAL,WON,%,TOTAL,WON,%
Ollie Watkins,12,938,5,2,18,0,5,60,28,46.70%,36,12,33.30%
Oscar Bobb,9,467,8,3,18,0,0,59,33,55.90%,8,3,37.50%
Dan Ballard,10,670,9,5,18,7,62,28,20,71.40%,71,43,60.60%
Axel Tuanzebe,6,540,6,3,18,5,47,17,8,47.10%,28,14,50.00%
Lesley Ugochukwu,11,665,18,5,18,4,7,69,37,53.60%,21,9,42.90%
Anthony Gordon,7,463,5,0,18,0,1,60,28,46.70%,8,5,62.50%
Nick Woltemade,9,701,7,2,17,0,7,60,22,36.70%,33,12,36.40%
Danny Welbeck,12,802,7,1,17,0,9,49,15,30.60%,20,5,25.00%
Will Hughes,10,450,5,3,16,3,12,28,10,35.70%,8,4,50.00%
Nicolò Savona,7,519,14,2,16,1,19,36,18,50.00%,7,3,42.90%
Lyle Foster,9,602,5,0,16,2,9,43,18,41.90%,45,15,33.30%
Tyrone Mings,7,498,2,4,16,5,31,12,6,50.00%,36,23,63.90%
Harvey Barnes,12,552,3,1,15,0,4,37,14,37.80%,4,2,50.00%
Erling Haaland,12,1038,3,0,15,0,21,41,17,41.50%,42,30,71.40%
Callum Hudson-Odoi,11,573,4,2,15,2,2,43,17,39.50%,3,1,33.30%
Raúl Jiménez,11,543,8,1,15,0,7,43,15,34.90%,54,17,31.50%
Jean-Ricner Bellegarde,11,501,11,7,15,1,7,52,33,63.50%,11,2,18.20%
Josh Laurent,11,566,4,14,15,4,14,28,6,21.40%,13,7,53.80%
Gabriel Magalhães,11,990,12,10,15,13,65,32,25,78.10%,63,38,60.30%
Jacob Murphy,11,661,4,1,14,0,6,43,19,44.20%,8,4,50.00%
Tomás Soucek,9,464,6,3,14,2,26,25,10,40.00%,33,19,57.60%
Hugo Ekitiké,11,672,4,1,14,2,14,55,20,36.40%,32,12,37.50%
Loum Tchaouna,11,516,8,2,14,1,7,44,20,45.50%,19,10,52.60%
Tosin Adarabioyo,8,467,12,5,14,3,30,16,12,75.00%,36,23,63.90%
Hjalmar Ekdal,7,534,8,4,14,6,42,11,8,72.70%,25,18,72.00%
Dominic Calvert-Lewin,10,634,4,1,13,0,4,44,16,36.40%,72,29,40.30%
Benjamin Sesko,11,616,3,2,13,1,8,32,7,21.90%,57,27,47.40%
Kaoru Mitoma,6,510,3,2,13,0,4,53,14,26.40%,10,3,30.00%
Kristoffer Ajer,8,466,15,7,12,1,19,33,20,60.60%,33,21,63.60%
Brennan Johnson,12,481,11,2,10,0,13,28,18,64.30%,7,4,57.10%
Jørgen Strand Larsen,10,801,1,2,10,1,13,44,13,29.50%,61,27,44.30%
Beto,12,620,6,0,9,1,17,47,15,31.90%,75,37,49.30%
Wilson Isidor,12,740,5,0,9,1,8,42,13,31.00%,41,13,31.70%
Chris Wood,8,544,1,0,7,1,5,17,6,35.30%,30,11,36.70%
Thierno Barry,12,464,0,2,6,1,8,26,5,19.20%,79,37,46.80%
